Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
amy,Ami,,,N,0,,,,N,N,
let,Amio-Gelimi,1,1,L,1,,,,N,N,
ami,Amis,2,2,L,5,1997,1972-1991,1991,N,Y,ami
amo,Amo,1,1,L,2,,,,N,Y,
umm,Amon,1,1,L,3,,,1895,N,Y,
apg,Ampanang,,,L,0,,,,N,N,
ajz,"Amri Karbi",17,,L,4,,2010-2014,Yes,Y,N,ajz
amt,Amto,1,1,L,3,,,1992,N,Y,
adw,Amundava,1,1,L,2,,,,N,N,
amg,Amurdak,,,N,0,,,,N,N,
amu,"Amuzgo, Guerrero",1,1,L,4,,1973-2009,1953-1998,Y,Y,amu
azm,"Amuzgo, Ipalapa",1,1,L,0,,,,N,Y,
azg,"Amuzgo, San Pedro Amuzgos",1,1,L,4,,1992-2009,1978-1980,Y,Y,azg
anw,Anaang,1,1,L,3,,,Yes,Y,Y,
akg,Anakalangu,1,1,L,2,,,,N,Y,
anm,Anal,35,,L,5,2006-2015,1983,1949-1983,N,Y,anm
pda,Anam,1,1,L,2,,,,N,N,
aan,Anambe,,,N,0,,,,N,N,
imi,Anamuxra,1,1,L,2,,,,N,N,
bpo,Anasi,1,1,L,1,,,,N,N,
acb,Anca,1,1,L,2,,,,N,N,
dgl,Andaandi,1,1,L,3,,,2022,Y,N,
afd,Andai,1,1,L,2,,,,N,N,
ajn,Andajin,,,N,0,,,,N,N,
hca,"Andaman Hindi Creole",48,,L,2,,,,N,Y,
ana,Andaqui,,,N,0,,,,N,N,
aod,Andarum,1,1,L,2,,,,N,N,
adg,Andegerebinha,,,N,0,,,,N,N,
anr,Andh,1,,L,2,,,,N,Y,
ani,Andi,1,1,L,3,,,2007,N,N,
bzb,Andio,1,1,L,3,,,2022,Y,N,
ano,Andoque,1,1,N,3,,,1976,N,Y,
anx,Andra-Hus,1,1,L,2,,,,N,Y,
aty,Aneityum,1,1,L,5,1879,1879,1853-1865,N,Y,aty
anz,Anem,1,1,L,2,,,,N,N,
aby,"Aneme Wake",1,1,L,4,,1988-2019,Yes,N,N,aby
myo,Anfillo,,,N,0,,,,N,N,
agm,Angaataha,1,1,L,4,,1994-2004,1976-1980,Y,N,agm
aqt,Angaite,1,1,L,0,,,,N,Y,
age,Angal,1,1,L,3,,,1985-1990,N,Y,
aoe,"Angal Enen",1,1,L,4,,2001,1968-1996,N,Y,
akh,"Angal Heneng",2,1,L,4,,1978-2013,1967,Y,Y,akh
anp,Angika,204,,L,4,,2019,2010-2011,Y,Y,
rme,Angloromani,5,5,L,3,,,1874-2025,N,N,rme
aoa,Angolar,1,1,L,3,,,2018,N,Y,
agg,Angor,1,1,L,4,,2001-2012,1973-1992,N,Y,agg
aog,Angoram,1,1,L,2,,,,N,Y,
hnh,Ani,1,1,L,1,,,,N,Y,
blo,Anii,2,2,L,3,,,2019,N,Y,
anf,Animere,1,1,N,0,,,,N,Y,
aoi,Anindilyakwa,1,1,L,3,,,1976-1995,N,Y,aoi
aqk,Aninka,1,1,L,3,,,2025,N,N,
boj,Anjam,1,1,L,4,,2000-2014,1987-1989,Y,N,boj
aak,Ankave,1,1,L,4,,1990-1991,1986-1992,N,N,aak
amx,Anmatyerr,1,1,L,3,,,2007-2020,N,N,amx
nun,Anong,2,2,N,5,2015,1981,2005-2010,N,Y,
anj,Anor,1,1,L,2,,,,N,Y,
and,Ansus,1,1,L,3,,,2019,Y,N,
ant,Antikarinya,,,N,0,,,,N,N,
anu,Anuak,3,3,L,5,2013,1962-1965,1956-2000,Y,Y,anu
